backers_count,category,country,spotlight,staff_pick,state,usd_pledged,live_period,state_change_period,usd_goal
0,"{""id"":50,""name"":""Poetry"",""slug"":""publishing/poetry"",""position"":11,""parent_id"":18,""parent_name"":""Publishing"",""color"":14867664,""urls"":{""web"":{""discover"":""http://www.kickstarter.com/discover/categories/publishing/poetry""}}}",US,FALSE,FALSE,canceled,0,30,13,100
321,"{""id"":35,""name"":""Video Games"",""slug"":""games/video games"",""position"":7,""parent_id"":12,""parent_name"":""Games"",""color"":51627,""urls"":{""web"":{""discover"":""http://www.kickstarter.com/discover/categories/games/video%20games""}}}",US,TRUE,TRUE,successful,9036.11,30,30,8500
51,"{""id"":273,""name"":""Playing Cards"",""slug"":""games/playing cards"",""position"":4,""parent_id"":12,""parent_name"":""Games"",""color"":51627,""urls"":{""web"":{""discover"":""http://www.kickstarter.com/discover/categories/games/playing%20cards""}}}",US,TRUE,FALSE,successful,1645,14,14,500
57,"{""id"":332,""name"":""Apps"",""slug"":""technology/apps"",""position"":2,""parent_id"":16,""parent_name"":""Technology"",""color"":6526716,""urls"":{""web"":{""discover"":""http://www.kickstarter.com/discover/categories/technology/apps""}}}",US,TRUE,FALSE,successful,10061,30,30,10000
26,"{""id"":28,""name"":""Product Design"",""slug"":""design/product design"",""position"":5,""parent_id"":7,""parent_name"":""Design"",""color"":2577151,""urls"":{""web"":{""discover"":""http://www.kickstarter.com/discover/categories/design/product%20design""}}}",GB,TRUE,FALSE,successful,616.240145,30,30,616.240145
110,"{""id"":53,""name"":""Public Art"",""slug"":""art/public art"",""position"":9,""parent_id"":1,""parent_name"":""Art"",""color"":16760235,""urls"":{""web"":{""discover"":""http://www.kickstarter.com/discover/categories/art/public%20art""}}}",US,FALSE,FALSE,failed,5036,29,29,125000
42,"{""id"":25,""name"":""Sculpture"",""slug"":""art/sculpture"",""position"":10,""parent_id"":1,""parent_name"":""Art"",""color"":16760235,""urls"":{""web"":{""discover"":""http://www.kickstarter.com/discover/categories/art/sculpture""}}}",US,FALSE,FALSE,failed,1972.11,29,29,4500
16,"{""id"":21,""name"":""Digital Art"",""slug"":""art/digital art"",""position"":3,""parent_id"":1,""parent_name"":""Art"",""color"":16760235,""urls"":{""web"":{""discover"":""http://www.kickstarter.com/discover/categories/art/digital%20art""}}}",US,TRUE,FALSE,successful,405,4,4,225
131,"{""id"":250,""name"":""Comic Books"",""slug"":""comics/comic books"",""position"":2,""parent_id"":3,""parent_name"":""Comics"",""color"":16776056,""urls"":{""web"":{""discover"":""http://www.kickstarter.com/discover/categories/comics/comic%20books""}}}",US,TRUE,FALSE,successful,4045,40,40,4000
3,"{""id"":291,""name"":""Action"",""slug"":""film & video/action"",""position"":1,""parent_id"":11,""parent_name"":""Film & Video"",""color"":16734574,""urls"":{""web"":{""discover"":""http://www.kickstarter.com/discover/categories/film%20&%20video/action""}}}",US,FALSE,FALSE,failed,36,30,30,5000
1,"{""id"":282,""name"":""Festivals"",""slug"":""theater/festivals"",""position"":3,""parent_id"":17,""parent_name"":""Theater"",""color"":16743775,""urls"":{""web"":{""discover"":""http://www.kickstarter.com/discover/categories/theater/festivals""}}}",US,FALSE,FALSE,failed,1,29,29,99500
12,"{""id"":262,""name"":""Accessories"",""slug"":""fashion/accessories"",""position"":1,""parent_id"":9,""parent_name"":""Fashion"",""color"":16752598,""urls"":{""web"":{""discover"":""http://www.kickstarter.com/discover/categories/fashion/accessories""}}}",US,TRUE,FALSE,successful,313,30,30,300
22,"{""id"":32,""name"":""Shorts"",""slug"":""film & video/shorts"",""position"":16,""parent_id"":11,""parent_name"":""Film & Video"",""color"":16734574,""urls"":{""web"":{""discover"":""http://www.kickstarter.com/discover/categories/film%20&%20video/shorts""}}}",GB,TRUE,FALSE,successful,646.374805,33,33,646.374805
2,"{""id"":50,""name"":""Poetry"",""slug"":""publishing/poetry"",""position"":11,""parent_id"":18,""parent_name"":""Publishing"",""color"":14867664,""urls"":{""web"":{""discover"":""http://www.kickstarter.com/discover/categories/publishing/poetry""}}}",US,FALSE,FALSE,canceled,4,59,0,5000
133,"{""id"":27,""name"":""Graphic Design"",""slug"":""design/graphic design"",""position"":3,""parent_id"":7,""parent_name"":""Design"",""color"":2577151,""urls"":{""web"":{""discover"":""http://www.kickstarter.com/discover/categories/design/graphic%20design""}}}",DE,TRUE,FALSE,successful,11623.9467,28,28,9299.157360000001
17,"{""id"":40,""name"":""Indie Rock"",""slug"":""music/indie rock"",""position"":9,""parent_id"":14,""parent_name"":""Music"",""color"":10878931,""urls"":{""web"":{""discover"":""http://www.kickstarter.com/discover/categories/music/indie%20rock""}}}",DK,TRUE,FALSE,successful,778.93554992,14,14,748.88
21,"{""id"":41,""name"":""Jazz"",""slug"":""music/jazz"",""position"":10,""parent_id"":14,""parent_name"":""Music"",""color"":10878931,""urls"":{""web"":{""discover"":""http://www.kickstarter.com/discover/categories/music/jazz""}}}",US,FALSE,FALSE,failed,1076,33,33,10000
41,"{""id"":42,""name"":""Pop"",""slug"":""music/pop"",""position"":14,""parent_id"":14,""parent_name"":""Music"",""color"":10878931,""urls"":{""web"":{""discover"":""http://www.kickstarter.com/discover/categories/music/pop""}}}",US,TRUE,FALSE,successful,2050,30,30,1500
1034,"{""id"":52,""name"":""Hardware"",""slug"":""technology/hardware"",""position"":8,""parent_id"":16,""parent_name"":""Technology"",""color"":6526716,""urls"":{""web"":{""discover"":""http://www.kickstarter.com/discover/categories/technology/hardware""}}}",US,TRUE,TRUE,successful,120469,44,44,50000
5,"{""id"":27,""name"":""Graphic Design"",""slug"":""design/graphic design"",""position"":3,""parent_id"":7,""parent_name"":""Design"",""color"":2577151,""urls"":{""web"":{""discover"":""http://www.kickstarter.com/discover/categories/design/graphic%20design""}}}",US,FALSE,FALSE,failed,125,30,30,7500
0,"{""id"":327,""name"":""Translations"",""slug"":""publishing/translations"",""position"":13,""parent_id"":18,""parent_name"":""Publishing"",""color"":14867664,""urls"":{""web"":{""discover"":""http://www.kickstarter.com/discover/categories/publishing/translations""}}}",FR,FALSE,FALSE,failed,0,30,30,13879.25058
